% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:22
% Table:              20000tempsPine - 
% Time                   Tvol (K)                 Tst (K), Point: 6        Tc (K), Point: 9         Tl (K), Point: 10        Tw (K), Point: 11        Tsa (K)
31                       771.8708171501746        772.9364288140501        770.4391829572016        772.849683268391         772.0757588981669        772.5737849531731
32                       772.1106446754512        772.9835430367111        770.9288590466506        772.9041526759243        772.2698154069805        772.6821704783297
33                       772.3215774064121        773.0247738132184        771.3601812864936        772.9522013599554        772.4407646721095        772.7775071468841
34                       772.4854355137209        773.0550187136206        771.6991234448894        772.9897730679426        772.5750688989839        772.8514476322015
35                       772.6022189974107        773.0742777379177        771.9456855218385        773.0168677998851        772.6727280876037        772.9039919342648
36                       772.7059366898679        773.0913147992368        772.1649736560718        773.0410026878611        772.7595965438625        772.9506640953873
37                       772.8048819625557        773.1082670596412        772.3728645875515        773.0640108547315        772.8419790817082        772.9952497982448
38                       772.8807015797898        773.1204049782777        772.5342230817712        773.0818355985699        772.9059231443118        773.0293713249201
39                       772.9333955416589        773.1277285551464        772.6490491387308        773.0944769193763        772.9514287316733        773.0530286753948
40                       772.9765788226715        773.1333421528122        772.7441641381662        773.1049424139813        772.9891236560942        773.0723979661491
41                       773.0263932629574        773.140926286708         772.8513673625295        773.1167978728862        773.0316081942411        773.0948015674097
42                       773.0675281650891        773.146989951            772.9404968732069        773.1266611080058        773.0669308572118        773.1132941375325
43                       773.0999835291736        773.1515331456884        773.0115526701992        773.1345321193403        773.0950916450064        773.1278756765033
44                       773.1237593551394        773.154555870773         773.0645347535059        773.1404109068897        773.116090557625         773.1385461843133
45                       773.1388556430591        773.1560581262537        773.099443123127         773.1442974706541        773.1299275950674        773.1453056609788
46                       773.1440133604614        773.1560218257248        773.1130738396935        773.145826951987         773.135333949534         773.147593851705
47                       773.1448020406689        773.1555111950606        773.1167698750832        773.146244544627         773.1368047202237        773.1479235005826
48                       773.1455907207734        773.1550005643963        773.120465910473         773.1466621372672        773.1382754909135        773.1482531494746
49                       773.1463794009363        773.1544899337321        773.1241619458626        773.1470797299071        773.1397462616034        773.1485827983615
50                       773.1471680810785        773.153979303068         773.1278579812525        773.1474973225472        773.1412170322931        773.1489124472535
51                       773.1479567612104        773.1534686724037        773.1315540166422        773.1479149151872        773.1426878029828        773.1492420961391
52                       773.1484959367011        773.1530426173367        773.1343597610949        773.1482321228069        773.1438037932083        773.1494640904453
53                       773.1486764708128        773.1527381323508        773.1358857895897        773.1484050356715        773.1444098173068        773.1495313406529
54                       773.148857004978         773.1524336473649        773.1374118180845        773.1485779485361        773.1450158414056        773.1495985908579
55                       773.1490375391103        773.152129162379         773.1389378465794        773.1487508614007        773.145621865504         773.1496658410483
56                       773.1492180732753        773.1518246773932        773.1404638750741        773.1489237742652        773.1462278896025        773.1497330912567
57                       773.1493986073492        773.1515201924072        773.141989903569         773.1490966871297        773.146833913701         773.1498003414598
58                       773.1495250550194        773.1512845058254        773.1431604698814        773.1492292967           773.1472982228712        773.149846390915
59                       773.1495737580333        773.1511477109788        773.1438200901555        773.1493039737823        773.1475588291303        773.1498619661518
60                       773.1496224610179        773.151010916132         773.1444797104293        773.1493786508644        773.1478194353895        773.1498775413987
